,mean,interval
CMU-ARCTIC___SLT,76.47590361445783,3.8230676132350965
PD-AST___SLT___English,70.95180722891567,4.0700063178455395
L2-ARCTIC___ASI,85.16564417177914,1.8705054854312806
L2-ARCTIC___TNI,81.29444444444445,2.7573773225744276
PD-AST___SLT___Hindi,69.51020408163265,3.994415074723193
PD-AST___ASI___Hindi,82.12234042553192,2.359116084089294
PD-AST___TNI___Hindi,79.64071856287426,2.8171422669525725
VTN_fine-tuning_nocondition_gt2syn_hifiganmelhifiganmel_hubert_norepeating___100000,51.47727272727273,3.726315302417042
VTN_fine-tuning_nocondition_mix2synVCTK3hr_hifiganmelhifiganmel_hubert_norepeating___100000,67.17977528089888,3.4342597529676766
