,mean,interval
CMU-ARCTIC___SLT,66.84375,3.445871362004624
PD-AST___SLT___English,70.37305699481865,3.518615692649746
L2-ARCTIC___HKK,75.28,2.5548257451742984
L2-ARCTIC___YDCK,78.84210526315789,1.8709123444658786
PD-AST___SLT___Korean,58.46892655367232,4.847093430013501
PD-AST___HKK___Korean,63.223958333333336,4.055510539091735
PD-AST___YDCK___Korean,63.87005649717514,4.363496065562895
