,mean,interval
CMU-ARCTIC___SLT,9.559139784946236,1.3227296511535585
PD-AST___SLT___English,10.781094527363184,1.4057533435141139
L2-ARCTIC___ASI,67.67317073170732,2.604269359274852
L2-ARCTIC___TNI,70.74311926605505,2.3984692574307758
PD-AST___SLT___Hindi,51.608040201005025,3.0222084512043565
PD-AST___ASI___Hindi,73.61274509803921,2.512858808031467
PD-AST___TNI___Hindi,77.35467980295566,2.65967287590793
VTN_fine-tuning_nocondition_gt2syn_hifiganmelhifiganmel_hubert_norepeating___100000,34.85128205128205,2.291841199556785
VTN_fine-tuning_nocondition_mix2synVCTK3hr_hifiganmelhifiganmel_hubert_norepeating___100000,47.26130653266332,2.6462018349251224
