,mean,interval
CMU-ARCTIC___SLT,6.902702702702703,1.0670065580685177
PD-AST___SLT___English,8.563725490196079,1.396643451387856
L2-ARCTIC___HKK,39.08457711442786,2.4553369476950024
L2-ARCTIC___YDCK,32.89519650655022,2.0963615887800895
PD-AST___SLT___Korean,77.62814070351759,2.331369265416356
PD-AST___HKK___Korean,83.40090090090091,1.6736305006668033
PD-AST___YDCK___Korean,83.4423076923077,1.6679739514338934
